// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\joffrey.dalet\Source\Repos\GIT\Git\fsharptests\MatrixVsTensor\MatrixVsTensor\bin\Release\netcoreapp2.1\b08bdf05-a35d-418a-9809-d3626291bc12
// command took 5.2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\joffrey.dalet\Source\Repos\GIT\Git\fsharptests\MatrixVsTensor\MatrixVsTensor\bin\Release\netcoreapp2.1\b08bdf05-a35d-418a-9809-d3626291bc12
// command took 8.54s and exited with 0
// ***** Done, took 00:00:14 (14.1 sec)   *****
// Found 2 benchmarks:
//   Harness.Old: DefaultJob
//   Harness.New: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Harness.Old: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b08bdf05-a35d-418a-9809-d3626291bc12.dll" --benchmarkName "Program+Harness+Harness.Old" --job "Default" --benchmarkId 0 in C:\Users\joffrey.dalet\Source\Repos\GIT\Git\fsharptests\MatrixVsTensor\MatrixVsTensor\bin\Release\netcoreapp2.1\b08bdf05-a35d-418a-9809-d3626291bc12\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  15: 64 op, 639374481.14 ns, 9.9902 ms/op

// AfterActualRun
WorkloadResult   1: 64 op, 639425506.08 ns, 9.9910 ms/op
WorkloadResult   2: 64 op, 639459522.71 ns, 9.9916 ms/op
WorkloadResult   3: 64 op, 639387677.24 ns, 9.9904 ms/op
WorkloadResult   4: 64 op, 639413189.71 ns, 9.9908 ms/op
WorkloadResult   5: 64 op, 639332253.60 ns, 9.9896 ms/op
WorkloadResult   6: 64 op, 639388263.74 ns, 9.9904 ms/op
WorkloadResult   7: 64 op, 639408791.01 ns, 9.9908 ms/op
WorkloadResult   8: 64 op, 639378586.59 ns, 9.9903 ms/op
WorkloadResult   9: 64 op, 639357766.07 ns, 9.9900 ms/op
WorkloadResult  10: 64 op, 639354833.60 ns, 9.9899 ms/op
WorkloadResult  11: 64 op, 639053375.90 ns, 9.9852 ms/op
WorkloadResult  12: 64 op, 639412016.73 ns, 9.9908 ms/op
WorkloadResult  13: 64 op, 639337532.04 ns, 9.9896 ms/op
WorkloadResult  14: 64 op, 639374187.89 ns, 9.9902 ms/op
GC:  0 0 0 0 64

// AfterAll

Mean = 9.9900 ms, StdErr = 0.0004 ms (0.00%); N = 14, StdDev = 0.0015 ms
Min = 9.9852 ms, Q1 = 9.9899 ms, Median = 9.9904 ms, Q3 = 9.9908 ms, Max = 9.9916 ms
IQR = 0.0009 ms, LowerFence = 9.9886 ms, UpperFence = 9.9922 ms
ConfidenceInterval = [9.9884 ms; 9.9917 ms] (CI 99.9%), Margin = 0.0017 ms (0.02% of Mean)
Skewness = -2.29, Kurtosis = 7.89, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\Program.Harness.Harness-report.csv
  BenchmarkDotNet.Artifacts\results\Program.Harness.Harness-report-github.md
  BenchmarkDotNet.Artifacts\results\Program.Harness.Harness-report.html

// * Detailed results *
Harness.Old: DefaultJob
Runtime = .NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 99.9021 ms, StdErr = 0.0094 ms (0.01%); N = 14, StdDev = 0.0350 ms
Min = 99.8484 ms, Q1 = 99.8876 ms, Median = 99.8987 ms, Q3 = 99.9119 ms, Max = 99.9703 ms
IQR = 0.0242 ms, LowerFence = 99.8513 ms, UpperFence = 99.9482 ms
ConfidenceInterval = [99.8626 ms; 99.9415 ms] (CI 99.9%), Margin = 0.0395 ms (0.04% of Mean)
Skewness = 0.42, Kurtosis = 2.57, MValue = 2
-------------------- Histogram --------------------
[99.836 ms ; 99.983 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

Harness.New: DefaultJob
Runtime = .NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 9.9900 ms, StdErr = 0.0004 ms (0.00%); N = 14, StdDev = 0.0015 ms
Min = 9.9852 ms, Q1 = 9.9899 ms, Median = 9.9904 ms, Q3 = 9.9908 ms, Max = 9.9916 ms
IQR = 0.0009 ms, LowerFence = 9.9886 ms, UpperFence = 9.9922 ms
ConfidenceInterval = [9.9884 ms; 9.9917 ms] (CI 99.9%), Margin = 0.0017 ms (0.02% of Mean)
Skewness = -2.29, Kurtosis = 7.89, MValue = 2
-------------------- Histogram --------------------
[9.985 ms ; 9.992 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 7 SP1 (6.1.7601.0)
Intel Xeon CPU E5-1620 v3 3.50GHz, 1 CPU, 8 logical and 4 physical cores
Frequency=3410097 Hz, Resolution=293.2468 ns, Timer=TSC
.NET Core SDK=2.1.700
  [Host]     : .NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT DEBUG  [AttachedDebugger]
  DefaultJob : .NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT


| Method |      Mean |     Error |    StdDev | Gen 0 | Gen 1 | Gen 2 | Allocated |
|------- |----------:|----------:|----------:|------:|------:|------:|----------:|
|    Old | 99.902 ms | 0.0395 ms | 0.0350 ms |     - |     - |     - |         - |
|    New |  9.990 ms | 0.0017 ms | 0.0015 ms |     - |     - |     - |         - |

// * Warnings *
Environment
  Summary -> Benchmark was executed with attached debugger

// * Hints *
Outliers
  Harness.Old: Default -> 1 outlier  was  removed (100.00 ms)
  Harness.New: Default -> 1 outlier  was  removed, 2 outliers were detected (9.99 ms, 10.00 ms)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ms      : 1 Millisecond (0.001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:33 (33.88 sec), executed benchmarks: 2

Global total time: 00:00:47 (47.99 sec), executed benchmarks: 2
// * Artifacts cleanup *
